Age,Gender,Year,Department,CGPA,Study_Hours,Revise_Notes,Exam_Preparation,Study_Schedule,Assignments_On_Time,Attendance,Class_Participation,Ask_Questions,Sleep,Exercise,Stress_Level,Stress_Affects_Studies,Social_Media_Usage,Most_Used_Platform,Distracted_By_Social_Media,Educational_Resources_Usage,Main_Educational_Resource,Reason_For_Degree,Motivation,Dedicated_Study_Environment,Time_Management,Biggest_Factor,Suggested_Improvement
20,Male,4th Year,Computer Science,5.35,More than 4 hours,Sometimes,1–2 days,Yes,Always,Below 50%,Never,Rarely,6–7 hours,Once a week,Very High,Sometimes,More than 6 hours,Instagram,Sometimes,Never,Other,Career Opportunities,Very High,Yes,Good,Motivation,Less distraction
20,Female,3rd Year,Statistics,7.18,More than 4 hours,Often,Same day,Yes,Always,70–85%,Never,Always,6–7 hours,Daily,Moderate,Often,2–4 hours,X/Twitter,Rarely,Sometimes,Other,Career Opportunities,Very High,No,Average,Attendance,More sleep
19,Other,2nd Year,Data Science,6.58,2–4 hours,Sometimes,3–7 days,Yes,Never,50–70%,Sometimes,Sometimes,6–7 hours,Once a week,Very Low,Sometimes,4–6 hours,Instagram,Never,Often,ChatGPT,Family Influence,Moderate,No,Excellent,Time management,Better planning
21,Male,1st Year,Mathematics,6.47,Less than 1 hour,Never,3–7 days,Yes,Never,70–85%,Always,Always,6–7 hours,Never,Low,Sometimes,2–4 hours,LinkedIn,Rarely,Very Frequently,Other,Career Opportunities,Low,Yes,Excellent,Motivation,Regular attendance
22,Other,2nd Year,Statistics,4.52,1–2 hours,Rarely,3–7 days,No,Always,70–85%,Often,Never,Less than 5 hours,4–5 times a week,Moderate,Always,4–6 hours,YouTube,Sometimes,Very Frequently,Coursera,Personal Interest,Moderate,No,Poor,Social media,Less distraction
19,Other,4th Year,Data Science,7.05,2–4 hours,Rarely,More than a week,No,Never,Above 85%,Often,Rarely,More than 8 hours,Once a week,Moderate,Rarely,4–6 hours,Other,Rarely,Very Frequently,ChatGPT,Family Influence,Very Low,Yes,Excellent,Time management,Regular attendance
20,Female,2nd Year,Data Science,5.76,1–2 hours,Always,Same day,Yes,Never,50–70%,Rarely,Sometimes,Less than 5 hours,2–3 times a week,Very Low,Rarely,Less than 1 hour,Other,Always,Very Frequently,Coursera,Career Opportunities,High,No,Average,Attendance,More revision
19,Male,4th Year,Economics,7.04,2–4 hours,Rarely,1–2 days,No,Always,70–85%,Always,Always,5–6 hours,Daily,Very High,Sometimes,1–2 hours,X/Twitter,Never,Never,Other,Personal Interest,Very High,Yes,Excellent,Time management,More sleep
20,Male,2nd Year,Data Science,6.99,2–4 hours,Often,More than a week,Yes,Always,70–85%,Always,Often,More than 8 hours,Once a week,Low,Often,4–6 hours,Facebook,Often,Never,YouTube,Career Opportunities,Very High,No,Good,Attendance,Regular attendance
22,Male,2nd Year,Data Science,4.07,1–2 hours,Never,More than a week,Yes,Always,Below 50%,Often,Never,Less than 5 hours,Never,Very High,Never,2–4 hours,X/Twitter,Always,Sometimes,Other,Personal Interest,Very Low,Yes,Very Poor,Time management,More revision
18,Female,3rd Year,Mathematics,5.14,Less than 1 hour,Sometimes,Same day,No,Usually,Below 50%,Never,Rarely,6–7 hours,4–5 times a week,High,Rarely,1–2 hours,LinkedIn,Sometimes,Never,ChatGPT,Career Opportunities,Moderate,No,Average,Motivation,Less distraction
20,Male,1st Year,Economics,6.39,2–4 hours,Never,More than a week,No,Rarely,50–70%,Always,Often,Less than 5 hours,Daily,Very High,Rarely,2–4 hours,LinkedIn,Sometimes,Rarely,YouTube,Personal Interest,Very Low,No,Very Poor,Sleep,Regular attendance
22,Male,3rd Year,Data Science,7.33,More than 4 hours,Never,3–7 days,No,Always,50–70%,Sometimes,Often,7–8 hours,Once a week,Moderate,Sometimes,2–4 hours,X/Twitter,Rarely,Often,Other,Career Opportunities,Low,Yes,Very Poor,Sleep,More sleep
21,Female,3rd Year,Statistics,7.46,2–4 hours,Never,More than a week,Yes,Never,50–70%,Never,Rarely,6–7 hours,4–5 times a week,High,Never,1–2 hours,LinkedIn,Never,Often,Other AI Tools,Peer Influence,Very High,No,Good,Social media,Better planning
22,Male,2nd Year,Economics,6.33,1–2 hours,Never,Same day,Yes,Sometimes,50–70%,Often,Sometimes,More than 8 hours,Once a week,Low,Rarely,2–4 hours,Instagram,Always,Very Frequently,ChatGPT,Family Influence,Very High,No,Good,Time management,Less distraction
21,Female,2nd Year,Statistics,4.37,Less than 1 hour,Rarely,More than a week,No,Sometimes,50–70%,Rarely,Often,Less than 5 hours,Daily,Very Low,Rarely,1–2 hours,Other,Sometimes,Never,ChatGPT,Peer Influence,Very High,No,Very Poor,Time management,More revision
21,Female,4th Year,Statistics,5.78,1–2 hours,Always,Same day,No,Always,50–70%,Rarely,Often,More than 8 hours,Never,Moderate,Always,4–6 hours,Instagram,Always,Sometimes,YouTube,Peer Influence,Very High,Yes,Excellent,Stress,Less distraction
18,Other,3rd Year,Statistics,6.72,1–2 hours,Sometimes,3–7 days,Yes,Usually,Above 85%,Rarely,Sometimes,5–6 hours,4–5 times a week,Moderate,Sometimes,1–2 hours,Instagram,Rarely,Never,Udemy,Peer Influence,Very High,No,Average,Social media,Less distraction
22,Male,2nd Year,Computer Science,6.94,1–2 hours,Always,Same day,No,Rarely,Above 85%,Sometimes,Sometimes,More than 8 hours,Never,Low,Sometimes,More than 6 hours,LinkedIn,Sometimes,Rarely,Other AI Tools,Personal Interest,Very High,Yes,Excellent,Attendance,Less distraction
19,Female,3rd Year,Data Science,6.28,Less than 1 hour,Rarely,1–2 days,Yes,Rarely,Above 85%,Rarely,Never,5–6 hours,Daily,Moderate,Always,2–4 hours,YouTube,Sometimes,Very Frequently,Other,Peer Influence,High,Yes,Excellent,Time management,Better planning
