Age,CGPA,Study_Hours,Study_Schedule,Attendance,Sleep,Stress_Level,Social_Media_Usage,Motivation,Dedicated_Study_Environment,Time_Management,Gender_Male,Gender_Other,Year_2nd Year,Year_3rd Year,Year_4th Year,Department_Data Science,Department_Economics,Department_Mathematics,Department_Statistics,Revise_Notes_Never,Revise_Notes_Often,Revise_Notes_Rarely,Revise_Notes_Sometimes,Exam_Preparation_3–7 days,Exam_Preparation_More than a week,Exam_Preparation_Same day,Assignments_On_Time_Never,Assignments_On_Time_Rarely,Assignments_On_Time_Sometimes,Assignments_On_Time_Usually,Class_Participation_Never,Class_Participation_Often,Class_Participation_Rarely,Class_Participation_Sometimes,Ask_Questions_Never,Ask_Questions_Often,Ask_Questions_Rarely,Ask_Questions_Sometimes,Exercise_4–5 times a week,Exercise_Daily,Exercise_Never,Exercise_Once a week,Stress_Affects_Studies_Never,Stress_Affects_Studies_Often,Stress_Affects_Studies_Rarely,Stress_Affects_Studies_Sometimes,Most_Used_Platform_Instagram,Most_Used_Platform_LinkedIn,Most_Used_Platform_Other,Most_Used_Platform_X/Twitter,Most_Used_Platform_YouTube,Distracted_By_Social_Media_Never,Distracted_By_Social_Media_Often,Distracted_By_Social_Media_Rarely,Distracted_By_Social_Media_Sometimes,Educational_Resources_Usage_Often,Educational_Resources_Usage_Rarely,Educational_Resources_Usage_Sometimes,Educational_Resources_Usage_Very Frequently,Main_Educational_Resource_Coursera,Main_Educational_Resource_Other,Main_Educational_Resource_Other AI Tools,Main_Educational_Resource_Udemy,Main_Educational_Resource_YouTube,Reason_For_Degree_Family Influence,Reason_For_Degree_Other,Reason_For_Degree_Peer Influence,Reason_For_Degree_Personal Interest,Biggest_Factor_Motivation,Biggest_Factor_Sleep,Biggest_Factor_Social media,Biggest_Factor_Stress,Biggest_Factor_Time management,Suggested_Improvement_Less distraction,Suggested_Improvement_More revision,Suggested_Improvement_More sleep,Suggested_Improvement_Regular attendance
20,5.35,4,1,1,3,5,5,5,1,4,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
20,7.18,4,1,3,3,3,3,5,0,3,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
19,6.58,3,1,2,3,1,4,3,0,5,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
21,6.47,1,1,3,3,2,3,2,1,5,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
22,4.52,2,0,3,1,3,4,3,0,2,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
19,7.05,3,0,4,5,3,4,1,1,5,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
20,5.76,2,1,2,1,1,1,4,0,3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
19,7.04,3,0,3,2,5,2,5,1,5,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
20,6.99,3,1,3,5,2,4,5,0,4,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
22,4.07,2,1,1,1,5,3,1,1,1,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
18,5.14,1,0,1,3,4,2,3,0,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
20,6.39,3,0,2,1,5,3,1,0,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
22,7.33,4,0,2,4,3,3,2,1,1,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
21,7.46,3,1,2,3,4,2,5,0,4,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
22,6.33,2,1,2,5,2,3,5,0,4,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
21,4.37,1,0,2,1,1,2,5,0,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
21,5.78,2,0,2,5,3,4,5,1,5,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False
18,6.72,2,1,4,2,3,2,5,0,3,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
22,6.94,2,0,4,5,2,5,5,1,5,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
19,6.28,1,1,4,2,3,3,4,1,5,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
22,9.01,4,1,4,4,2,1,3,0,4,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
20,7.46,3,1,4,1,3,1,4,1,3,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True
18,6.41,2,1,2,4,1,4,3,0,2,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
22,7.32,2,0,3,4,4,1,5,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
22,6.89,3,0,2,3,1,1,4,1,2,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
